Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Warranty,Price in Rupees,Rating,Actual price,%Off
"Realme 6 (Comet Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,No data available,"15,999",No data available,No data available,No data available
"Redmi 8 (Onyx Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"9,499",4.4,"₹10,999",13% off
"Realme Narzo 10A (So Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"8,499",4.6,"₹9,999",15% off
"Realme Narzo 10A (So White, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"8,499",4.6,"₹9,999",15% off
"Redmi 8 (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"9,499",4.4,"₹10,999",13% off
"Realme 6 Pro (Lightning Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,No data available,"17,999",No data available,No data available,No data available
"Realme C3 (Frozen Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,No data available,"8,999",No data available,No data available,No data available
"Realme C3 (Blazing Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,No data available,"8,999",No data available,No data available,No data available
"Realme C3 (Blazing Red, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,No data available,"7,999",No data available,No data available,No data available
"Realme C3 (Frozen Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,No data available,"7,999",No data available,No data available,No data available
"Realme 6 (Comet White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,No data available,"13,999",No data available,No data available,No data available
"Redmi Note 8 Pro (Halo White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,No data available,"16,999",No data available,No data available,No data available
"Motorola G8 Power Lite (Arctic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,16MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio P35 Processor,No data available,"8,999",No data available,No data available,No data available
"OPPO A12 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 (MT6765V/CB) Processor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,"9,990",4.5,"₹10,990",9% off
"Vivo Z1Pro (Sonic Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"13,990",4.5,"₹15,990",12% off
"Vivo Z1Pro (Sonic Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"16,990",4.5,"₹20,990",19% off
"Vivo Z1Pro (Sonic Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"14,990",4.5,"₹17,990",16% off
"Vivo Z1Pro (Sonic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"13,990",4.5,"₹15,990",12% off
"Vivo Z1Pro (Sonic Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"14,990",4.5,"₹17,990",16% off
"Vivo Z1Pro (Sonic Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"16,990",4.5,"₹20,990",19% off
"Vivo U10 (Electric Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 665 AIE Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"9,990",4.4,"₹10,990",9% off
"Realme 5i (Aqua Blue, 128 GB)",4 GB RAM | 128 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor,No data available,"11,999",No data available,No data available,No data available
"Realme 5i (Forest Green, 64 GB)",4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,No data available,"10,999",No data available,No data available,No data available
"Realme 5i (Forest Green, 128 GB)",4 GB RAM | 128 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor,No data available,"11,999",No data available,No data available,No data available
"Google Pixel 3a XL (Just Black, 64 GB)",4 GB RAM | 64 GB ROM,15.24 cm (6 inch) Full HD+ Display,12.2MP Rear Camera | 8MP Front Camera,3700 mAh Battery,Qualcomm Snapdragon 670 Processor,Brand Warranty of 1 Year Available for Mobile,"34,999",4.5,"₹44,999",22% off
"Asus ZenFone Max Pro M2 (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,15.9 cm (6.26 inch) Full HD+ Display,12MP + 5MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 660 Octa Core Processor,No data available,"17,999",No data available,No data available,No data available
"Apple iPhone 11 Pro (Midnight Green, 256 GB)",256 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,No data available,"1,21,300",No data available,No data available,No data available
"Apple iPhone 11 Pro Max (Midnight Green, 256 GB)",256 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,No data available,"1,31,900",No data available,No data available,No data available
"Honor 8X (Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) Full HD+ Display,20MP + 2MP | 16MP Front Camera,3750 mAh Battery,2.2 GHz Kirin 710 Octa Core Processor,No data available,"19,999",No data available,No data available,No data available
"Gionee A1 (Grey, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 16MP Front Camera,4010 mAh Li-Ion Polymer Battery,MediaTek MT6755 Helio P10 Octa Core 2.0GHz Processor,No data available,"21,499",No data available,No data available,No data available
"Honor 9N (Midnight Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"19,999",No data available,No data available,No data available
"Honor 9N (Midnight Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"15,999",No data available,No data available,No data available
"Honor 9N (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"15,999",No data available,No data available,No data available
"Honor 9N (Sapphire Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"19,999",No data available,No data available,No data available
"Vivo X21 (Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.95 cm (6.28 inch) Full HD+ Display,12MP + 5MP | 12MP Front Camera,3200 mAh Li-ion Battery,Qualcomm Snapdragon 660 AIE Processor,No data available,"36,990",No data available,No data available,No data available
"Coolpad Note 3S (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera,2500 mAh Battery,qualcomm Qualcomm Snapdragon Octa Core 1.36GHz Processor,No data available,"9,999",No data available,No data available,No data available
"Realme 2 Pro (Black Sea, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 2MP | 16MP Front Camera,3500 mAh Li-ion Battery,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"13,990",4.5,"₹15,990",12% off
"Samsung Galaxy A80 (Phantom Black, 128 GB)",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,48MP + 8MP | 48MP(F2.0) + 8MP(Ultra Wide/F2.2) + TOF (Time-of-Flight) 3D-Depth Rotating Camera,3700 mAh Battery,Qualcomm Snapdragon 730G Octa-Core Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"41,999",4.1,"₹52,000",19% off
"Nokia 2.2 (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 400 GB,14.5 cm (5.71 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,MediaTek Helio A22 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,"5,799",4,"₹9,099",36% off
"Nubia Red Magic 3 (Black, 128 GB)",8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD Display,48MP Rear Camera | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Qualcomm Snapdragon 855 Processor,No data available,"38,999",No data available,No data available,No data available
"Apple iPhone 8 (Space Grey, 64 GB)",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",iOS 13 Compatible,Brand Warranty of 1 Year,"38,999",4.5,"₹39,900",2% off
"Nokia 3.1 Plus (Charcoal, 32 GB)",3 GB RAM | 32 GB ROM,15.24 cm (6 inch) Display,13MP Rear Camera,3500 mAh Battery,Mediatek MT6762 Helio P22 Processor,No data available,"11,499",No data available,No data available,No data available
"POCO F1 (Rosso Red, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,15.7 cm (6.18 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 845 Processor,No data available,"29,999",No data available,No data available,No data available
"OPPO Reno2 F (Sky White, 128 GB)",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4000 mAh Battery,MTK MT6771V(P70) 64bit Processor,Brand Warranty of 1 Year Available for Mobile with Battery and 6 Months for Accessories,"23,490",4.4,"₹28,990",18% off
"Karbonn K9 Kavach (Champagne, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,5MP Rear Camera,2300 mAh Battery,1 Year Brand Warranty on Handset,No data available,"3,599",No data available,No data available,No data available
"Apple iPhone 7 (Gold, 32 GB)",32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,iOS 13 Compatible,No data available,"36,999",No data available,No data available,No data available
"Vivo Y12 (Aqua Blue, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 8MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,No data available,"13,970",No data available,No data available,No data available
"Samsung Galaxy S20 (Cloud Pink, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,15.75 cm (6.2 inch) Quad HD+ Display,64MP + 12MP + 12MP | 10MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 990 Processor,No data available,"70,499",No data available,No data available,No data available
"Vivo Y12 (Aqua Blue, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 8MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,No data available,"13,999",No data available,No data available,No data available
"Apple iPhone 7 Plus (Silver, 32 GB)",32 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,iOS 13 Compatible,Brand Warranty of 1 Year,"36,999",4.5,"₹37,900",2% off
"Vivo V9 (Pearl Black (Golden Line), 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP | 24MP Front Camera,3260 mAh Li-ion Battery,Qualcomm Snapdragon 626 Processor,No data available,"23,990",No data available,No data available,No data available
"Vivo V9 (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP | 24MP Front Camera,3260 mAh Li-ion Battery,Qualcomm Snapdragon 626 Processor,No data available,"23,990",No data available,No data available,No data available
"Voto V2i (Rose Gold, 32 GB)",2 GB RAM | 32 GB ROM,12.7 cm (5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Spreadtrum SC9832 Cortex A7 Processor,No data available,"8,799",No data available,No data available,No data available
"OPPO F11 (Fluorite Purple, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Display,48MP + 5MP | 16MP Front Camera,4020 mAh Battery,MTK MT6771V (P70) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"17,990",4.4,"₹23,990",25% off
"Honor 10 Lite (Midnight Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,13MP + 2MP | 24MP Front Camera,3400 mAh Lithium Polymer Battery,Kirin 710 2.2GHz Octa Core Processor,No data available,"13,999",No data available,No data available,No data available
"Tecno Camon i4 (Nebula Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.",No data available,"7,599",No data available,No data available,No data available
"OPPO Find X (Bordeaux Red, 256 GB)",8 GB RAM | 256 GB ROM,16.26 cm (6.4 inch) Full HD Display,16MP + 20MP | 25MP Front Camera,3730 mAh Li-polymer Battery,Snapdragon 845 Octa Core 2.649 GHz Processor,No data available,"60,990",No data available,No data available,No data available
"OPPO Find X (Glacier Blue, 256 GB)",8 GB RAM | 256 GB ROM,16.26 cm (6.4 inch) Full HD Display,16MP + 20MP | 25MP Front Camera,3730 mAh Li-polymer Battery,Snapdragon 845 Octa Core 2.649 GHz Processor,No data available,"60,990",No data available,No data available,No data available
"Apple iPhone 11 Pro Max (Space Grey, 64 GB)",64 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,No data available,"1,17,100",No data available,No data available,No data available
"Samsung Galaxy S20 (Cloud Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,15.75 cm (6.2 inch) Quad HD+ Display,64MP + 12MP + 12MP | 10MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 990 Processor,No data available,"70,499",No data available,No data available,No data available
"OPPO A3s (Purple, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery,Qualcomm Snapdragon 450 Processor,No data available,"12,500",No data available,No data available,No data available
"Nokia 6.1 (Gold, Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera,3000 mAh Battery,Qualcomm Snapdragon 630 Processor,No data available,"11,999",No data available,No data available,No data available
"Vivo V11 (Starry Night Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP | 25MP Front Camera,3315 mAh Battery,MediaTek P60 Octa Core 2.0 GHz Processor,No data available,"24,990",No data available,No data available,No data available
"Vivo V11 (Nebula Purple, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP | 25MP Front Camera,3315 mAh Battery,MediaTek P60 Octa Core 2.0 GHz Processor,No data available,"24,990",No data available,No data available,No data available
"OPPO F3 Plus (Gold, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) Full HD Display,16MP Rear Camera | 16MP + 8MP Dual Front Camera,4000 mAh Battery,Qualcomm MSM8976 Pro Snapdragon 653 octa-core Processor,No data available,"22,990",No data available,No data available,No data available
"XOLO BLACK (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3200 mAh Li-Polymer Battery,Qualcomm Snapdragon 615 MSM8939 64-bit Cortex-A53 Processor,No data available,"11,999",No data available,No data available,No data available
"Infinix Hot 7 (Aqua Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.72 cm (6.19 inch) HD+ Display,13MP + 2MP | 13MP + 2MP Dual Front Camera,4000 mAh Li-ion Polymer Battery,Helio P25 (MTK6757CD) Processor,No data available,"9,999",No data available,No data available,No data available
"Nokia 5 (Tempered Blue, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 430 Processor,No data available,"11,990",No data available,No data available,No data available
"Mobiistar X1 Dual (Black, 32 GB)",3 GB RAM | 32 GB ROM,14.48 cm (5.7 inch) Display,13MP Rear Camera | 13MP + 8MP Dual Front Camera,3000 mAh Battery,1 Year on Handset & 6 Months on Accessories,No data available,"10,499",No data available,No data available,No data available
"OPPO F5 Youth (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) Full HD+ Display,13MP Rear Camera | 16MP Front Camera,3200 mAh Battery,MT6763T Processor,No data available,"14,990",No data available,No data available,No data available
"Alcatel 5V (Black, 32 GB)",3 GB RAM | 32 GB ROM,15.75 cm (6.2 inch) Display,16MP Rear Camera,4000 mAh Battery,18 MONTHS,No data available,"12,999",No data available,No data available,No data available
"Motorola Edge+ (Thunder Grey, 256 GB)",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,108MP + 16MP + 8MP | 25MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 865 Processor,No data available,"74,999",No data available,No data available,No data available
"Mi 10 (Twilight Grey, 256 GB)",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera | 20MP Front Camera,4780 mAh Battery,Qualcomm Spectra 480 ISP Processor,No data available,"53,280",No data available,No data available,No data available
"OPPO F5 (Red, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) Full HD+ Display,16MP Rear Camera | 20MP Front Camera,3200 mAh Battery,Mediatek MT6763T Octa Core 2.5 GHz Processor,No data available,"24,990",No data available,No data available,No data available
"POCO F1 (Graphite Black, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,15.7 cm (6.18 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 845 Processor,No data available,"29,999",No data available,No data available,No data available
"Redmi Y2 (Rose Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,No data available,"8,689",No data available,No data available,No data available
"OPPO A9 (Fluorite Purple, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP | 16MP Front Camera,4020 mAh Li-polymer Battery,MTK MT6771V (P70) Processor,Brand Warranty of 1 Year Available for Mobile and Battery and 6 Months for Accessories,"16,490",4.4,"₹16,990",2% off
"Vivo Y95 (Nebula Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 20MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"17,490",4.4,"₹17,990",2% off
"Gionee F10 (Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.47 cm (6.09 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,3550 mAh Li Polymer Battery,Octa Core Processor Processor,Brand Warranty of 1 Year Available for Mobile,"6,999",4.2,"₹7,990",12% off
"Billion Capture+ (Mystic Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP + 13MP | 8MP Front Camera,3500 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,No data available,"13,999",No data available,No data available,No data available
"Panasonic Eluga A4 (Marine Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-ion Polymer Battery,MT6737 Processor,No data available,"12,990",No data available,No data available,No data available
"Mi 10 (Coral Green, 256 GB)",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera | 20MP Front Camera,4780 mAh Battery,Qualcomm Spectra 480 ISP Processor,No data available,"53,384",No data available,No data available,No data available
"Huawei P9 (Mystic Silver, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,12MP + 12MP | 8MP Front Camera,3000 mAh Battery,HUAWEI Kirin 955 ARM Cortex-A72 64-bit + ARM Cortex-A53 64-bit Processor,No data available,"39,999",No data available,No data available,No data available
"Apple iPhone X (Silver, 64 GB)",64 GB ROM,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",iOS 13 Compatible,No data available,"84,999",No data available,No data available,No data available
"Samsung Galaxy A80 (Angel Gold, 128 GB)",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,48MP + 8MP | 48MP(F2.0) + 8MP(Ultra Wide/F2.2) + TOF (Time-of-Flight) 3D-Depth Rotating Camera,3700 mAh Battery,Qualcomm Snapdragon 730G Octa-Core Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"41,999",4.1,"₹52,000",19% off
"Samsung Galaxy Note 10 Plus (Aura Glow, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.27 cm (6.8 inch) Display,12MP (Dual Aperture) + 12MP + 16MP + TOF | 10MP Front Camera,4300 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,No data available,"84,200",No data available,No data available,No data available
"Apple iPhone 8 Plus (Space Grey, 256 GB)",256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year,No data available,"84,900",No data available,No data available,No data available
"OPPO R17 (Ambient Blue, 128 GB)",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,16MP Rear Camera,3500 mAh Battery,1 year manufacturer warranty,No data available,"21,999",No data available,No data available,No data available
"OPPO R17 (Neon Purple, 128 GB)",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,16MP Rear Camera,3500 mAh Battery,1 year manufacturer warranty,No data available,"21,999",No data available,No data available,No data available
