Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Warranty,Price in Rupees,Rating,Actual price,%Off
"Lava Z81 (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,14.48 cm (5.7 inch) HD+ Display,13MP Rear Camera | 13MP Front Camera,3000 mAh Battery,2.0 Quad Core Processor Processor,No data available,"9,500",No data available,No data available,No data available
"Tecno Camon i4 (Midnight Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP + 8MP | 16MP Front Camera,3500 mAh Battery,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.",No data available,"10,000",No data available,No data available,No data available
"Samsung Galaxy S7 Edge (Black Onyx, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 200 GB,13.97 cm (5.5 inch) Quad HD Display,12MP Rear Camera | 5MP Front Camera,3600 mAh Li-Ion Battery,Exynos 8890 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"44,999",4.4,"₹54,510",17% off
"OPPO Ravichandran Ashwin Limited Edition (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.82 cm (6.23 inch) Full HD+ Display,16MP Rear Camera | 25MP Front Camera,3400 mAh Battery,MTK P60 Octa Core 2.0 GHz Processor,No data available,"22,990",No data available,No data available,No data available
"OPPO Reno2 Z (Sky White, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4000 mAh Battery,MediaTek Helio P90 SoC Processor,Brand Warranty of 1 Year Available for Mobile with Battery and 6 Months for Accessories,"29,990",4.5,"₹32,775",8% off
"Tecno Camon I Twin (Gold, 32 GB)",3 GB RAM | 32 GB ROM,15.24 cm (6 inch) Display,13MP Rear Camera | 2MP Dual Front Camera,4000 mAh Battery,1 Year Brand Warranty,No data available,"8,999",No data available,No data available,No data available
"Samsung Galaxy S10 Plus (Prism Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Quad HD+ Display,16MP + 12MP | 10MP + 8MP Dual Front Camera,4100 mAh Lithium-ion Battery,Exynos 9 9820 Processor,No data available,"68,900",No data available,No data available,No data available
"Panasonic Eluga Turbo (Champagne Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2350 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,No data available,"8,999",No data available,No data available,No data available
"Samsung Galaxy A70 (Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ Display,32MP + 5MP + 8MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragron 675 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"28,990",4.3,"₹30,900",6% off
"Nokia N8 (Dark Grey, 16 GB)",256 MB RAM | 16 GB ROM | Expandable Upto 32 GB,8.89 cm (3.5 inch) NA Display,12MP Rear Camera | 0.3MP Front Camera,1200 mAh Li-Ion Battery,ARM11 Processor,No data available,"19,999",No data available,No data available,No data available
"Moto G6 (Indigo Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) Full HD+ Display,12MP + 5MP | 16MP Front Camera,3000 mAh Battery,12 Months Brand Warranty,No data available,"14,999",No data available,No data available,No data available
"Honor 9N (Robin Egg Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"14,500",No data available,No data available,No data available
"Honor 9N (Robin Egg Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"12,500",No data available,No data available,No data available
"Moto G5s (Oxford Blue, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,16MP Rear Camera | 5MP Front Camera,3000 mAh Polymer Battery,Qualcomm Snapdragon 430 Processor,No data available,"15,000",No data available,No data available,No data available
"Honor 9N (Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"14,500",No data available,No data available,No data available
"Nokia 5 (Silver, 16 GB)",3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 430 64-bit Processor,No data available,"9,490",No data available,No data available,No data available
"Lenovo K6 Note (Gold, 32 GB)",3 GB RAM | 32 GB ROM,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera,4000 mAh Battery,Qualcomm Octa Core 1.4GHz Processor,No data available,"13,090",No data available,No data available,No data available
"Nokia 5 (Matte Black, 16 GB)",3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 430 64-bit Octa Core 1.4 GHz Processor,No data available,"12,499",No data available,No data available,No data available
"Nokia 5 (Tempered Blue, 16 GB)",3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 430 64-bit Octa Core 1.4 GHz Processor,No data available,"12,490",No data available,No data available,No data available
"Tecno Camon i4 (Nebula Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.",No data available,"12,430",No data available,No data available,No data available
"Tecno Camon i4 (Midnight Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 5MP + 8MP | 13MP Front Camera,3500 mAh Battery,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.",No data available,"10,590",No data available,No data available,No data available
"OPPO A5s (Red, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery,MTK MT6765 Processor,No data available,"12,990",No data available,No data available,No data available
"Yu Yureka Note (Black, 16 GB)",3 GB RAM | 16 GB ROM | Expandable Upto 32 GB,15.24 cm (6 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,4000 mAh Li-Polymer Battery,Mediatek MT6753T Octa Core 1.5GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"6,899",3.7,"₹14,999",54% off
"Redmi Go (Blue, 16 GB)",1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Li Polymer Battery,Qualcomm Snapdragon 425 Processor,No data available,"6,700",No data available,No data available,No data available
"Samsung Galaxy A6+ (Black, 64 GB)",4 GB RAM | 64 GB ROM,15.24 cm (6 inch) Full HD+ Display,16MP + 5MP | 24MP Front Camera,3500 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,No data available,"21,999",No data available,No data available,No data available
"OPPO F5 (Black, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) Full HD+ Display,16MP Rear Camera | 20MP Front Camera,3200 mAh Battery,Mediatek MT6763T Octa Core 2.5 GHz Processor,No data available,"15,500",No data available,No data available,No data available
"Vivo Y83 Pro (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,3260 mAh Li-ion Battery,Mediatek Helio P22 Processor,No data available,"14,500",No data available,No data available,No data available
"Vivo Y83 Pro (Nebula Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,3260 mAh Li-ion Battery,Mediatek Helio P22 Processor,No data available,"14,500",No data available,No data available,No data available
"Lava Z61 (Gold, 16 GB)",1 GB RAM | 16 GB ROM | Expandable Upto 32 GB,13.84 cm (5.45 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,1.5 GHz Quad core processor Processor,No data available,"6,999",No data available,No data available,No data available
"Gionee X-1 (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 8MP Front Camera,3000 mAh Li-polymer Battery,MT6737 Processor,No data available,"9,499",No data available,No data available,No data available
"Samsung Galaxy A30 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,16MP + 5MP | 16MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 7904 Processor,No data available,"15,998",No data available,No data available,No data available
"Vivo V7 (Energetic Blue, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD Display,16MP Rear Camera | 24MP Front Camera,3000 mAh Li-ion Battery,Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor,No data available,"15,990",No data available,No data available,No data available
